2024-11-04T15:08:46.431Z [info]: MongoDB connected successfully
2024-11-04T15:08:51.163Z [info]: Request URL: /products, Request Method: GET, Status Code: 200
2024-11-04T15:08:55.421Z [info]: Request URL: /users/6728ddb1b1406771f28cb773, Request Method: GET, Status Code: 200
2024-11-04T15:09:53.990Z [info]: Request URL: /users/6728ddb1b1406771f28cb773, Request Method: DELETE, Status Code: 200
2024-11-04T15:10:13.827Z [info]: Request URL: /users, Request Method: POST, Status Code: 201
2024-11-04T15:11:39.755Z [info]: Request URL: /api/products%60, Request Method: GET, Status Code: 404
2024-11-04T15:11:39.756Z [info]: Request URL: /api/products%60, Request Method: GET, Status Code: 404
2024-11-04T15:11:41.461Z [info]: Request URL: /products, Request Method: GET, Status Code: 200
2024-11-04T15:11:45.960Z [info]: Request URL: /api/users/6728e3d5dc7cc746349e8edb/buy_product, Request Method: GET, Status Code: 404
2024-11-04T15:11:45.961Z [info]: Request URL: /api/users/6728e3d5dc7cc746349e8edb/buy_product, Request Method: GET, Status Code: 404
2024-11-04T15:11:50.557Z [info]: Request URL: /users/6728e3d5dc7cc746349e8edb/buy_product, Request Method: POST, Status Code: 200
2024-11-04T15:12:17.382Z [info]: Request URL: /users/6728a0a75140fc2f2bb13885/purchases, Request Method: GET, Status Code: 200
2024-11-04T15:12:19.876Z [info]: Request URL: /api/users/6728a0a75140fc2f2bb13885/purchases, Request Method: POST, Status Code: 404
2024-11-04T15:12:19.877Z [info]: Request URL: /api/users/6728a0a75140fc2f2bb13885/purchases, Request Method: POST, Status Code: 404
2024-11-04T15:12:23.560Z [info]: Request URL: /users/6728a0a75140fc2f2bb13885/purchases, Request Method: GET, Status Code: 200
2024-11-04T15:12:38.929Z [info]: Request URL: /api/users/6728a0a75140fc2f2bb13885, Request Method: POST, Status Code: 404
2024-11-04T15:12:38.930Z [info]: Request URL: /api/users/6728a0a75140fc2f2bb13885, Request Method: POST, Status Code: 404
2024-11-04T15:13:27.576Z [info]: Request URL: /api/users/672896fb15668820dc02a7db, Request Method: POST, Status Code: 404
2024-11-04T15:13:27.576Z [info]: Request URL: /api/users/672896fb15668820dc02a7db, Request Method: POST, Status Code: 404
2024-11-04T15:13:31.016Z [info]: Request URL: /users/672896fb15668820dc02a7db, Request Method: GET, Status Code: 200
2024-11-04T15:13:39.649Z [info]: Request URL: /users/672896fb15668820dc02a7db/purchases, Request Method: GET, Status Code: 200
2024-11-04T15:16:39.199Z [info]: Request URL: /products, Request Method: GET, Status Code: 200
2024-11-04T15:16:49.534Z [info]: Request URL: /products, Request Method: POST, Status Code: 201
2024-11-04T15:16:52.149Z [info]: Request URL: /products, Request Method: GET, Status Code: 200
2024-11-04T15:17:08.239Z [info]: Request URL: /products/6728e561dc7cc746349e8ee7, Request Method: DELETE, Status Code: 200
2024-11-04T15:17:10.952Z [info]: Request URL: /api/products, Request Method: DELETE, Status Code: 404
2024-11-04T15:17:10.953Z [info]: Request URL: /api/products, Request Method: DELETE, Status Code: 404
2024-11-04T15:17:15.128Z [info]: Request URL: /products, Request Method: POST, Status Code: 201
